23978,8x4,Gezond & verzorging,,"De Men Beast van 8x4 Men biedt een langdurige en betrouwbare bescherming. De geur van warme hout-achtige en vanille geurtonen geven een persoonlijke tint. De spray laat geen rest product achter, en is dermatologisch getest,",Man,8x4 Men Deodorant Spray Beast 150ml,179,,Lichaamsverzorging,Deodorant,,24,3 voor 5,Mannen,ml,,8x4 Men,,Anti-transpirant,Men Beast,,,
7225,8x4,Gezond & verzorging,,"De Heavenly deospray van 8x4 biedt deodorant bescherming met heerlijke parfum.&nbsp;Met de geuren van mandarijn, vanille en cranberry&nbsp;geeft het je een sprankelende toon. De spray laat geen rest product achter en is dermatologisch getest. &nbsp;&nbsp;",Vrouw,8x4 Deodorant Spray Heavenly 150ml,179,,Lichaamsverzorging,Deodorant,,0,3 voor 5,Vrouwen,ml,,,,Anti-transpirant,Heavenly,,,
29438,1Auto,Wonen & vrije tijd,,"Reinig jouw autoruiten met de ruitensproeier vloeistof van 1Auto! De ruitensproeier vloeistof verwijdert aanslag en insecten. Let op! Gezien de omvang kunnen er maximaal 3 flessen online worden besteld. Neem contact op met de klantenservice als je meer zou willen bestellen, de verzendvergoeding zal dan wat hoger zijn.",Unisex,1Auto Ruitensproeiervloeistof Zomer 4L,179,,Outdoor en vrije tijd,Outdoor en vrije tijd,,0,3 voor 5,Volwassenen,ml,,,,,,,,
9196,8x4,Gezond & verzorging,,No Limits! Verleg je grenzen met de verfrissende geur van 8x4 Urban Spirit. 8x4 combineert individuele geuren met betrouwbare deodorantbescherming - de hele dag lang.,Man,8x4 for Men Deodorant Spray Urban Spirit 150 ml,179,,Lichaamsverzorging,Deodorant,,21,3 voor 5,Mannen,ml,,8x4 Men,,Anti-transpirant,Urban Spirit,,,
8533,8x4,Gezond & verzorging,,"Avontuur! Ontdek de wereld met de dynamische, kruidige geur van 8x4 Discovery. 8x4 combineert individuele geuren met betrouwbare deodorantbescherming de hele dag lang. Deze deodorant heeft een non-stop fresh effect. Het laat geen restproducten achter. De huidverdraagzaamheid is dermatologisch aangetoond.&nbsp;",Man,8x4 Men Deodorant Spray Discovery 150 ml,179,,Lichaamsverzorging,Deodorant,,41,3 voor 5,Mannen,ml,,8x4 Men,,Anti-transpirant,Discovery,,,
22309,Agfa,Elektronica & media,,"Geef je apparaten draadloos energie met de Alkaline Power AA batterijen van Afgaphoto. Deze batterijen kunnen bijvoorbeeld gebruikt worden voor camera's, klokken en speelgoed.",Unisex,Agfaphoto Alkaline Power Batterijen AA 4 st,129,,Elektronica & media,Batterijen,,0,3 voor 3,Volwassenen,st,,Alkaline,,,AA,,,
8570,8x4,Gezond & verzorging,,"Wees jezelf! De subtiele, frisse geur van 8x4 Unity past perfect bij jouw persoonlijkheid. 8x4 combineert individuele geuren met betrouwbare deodorantbescherming - de hele dag lang.",Vrouw,8x4 Deodorant Spray Unity 150 ml,179,,Lichaamsverzorging,Deodorant,,0,3 voor 5,Vrouwen,ml,,,,Anti-transpirant,Unity,,,
2036,8x4,Gezond & verzorging,,Flirt! Voel je fris en verleidelijk met de fijne lentebloemen geur van 8x4 Soft Kiss. 8x4 combineert individuele geuren met betrouwbare deodorantbescherming - de hele dag lang.,Vrouw,8x4 Deodorant Spray Soft Kiss 150 ml,179,,Lichaamsverzorging,Deodorant,,10,3 voor 5,Vrouwen,ml,,,,Anti-transpirant,Soft Kiss,,,
29100,Airwick,Huishouden,,De Airwick Freshmatic verspreid dagelijks heerlijke parfum door&nbsp;het huis. De parfum neutraliseert geurtjes en gaat tot wel 60 dagen mee.&nbsp;De frisheid van zijde en heerlijke bloemen geur van lelie laat&nbsp;je heerlijk ontspannen in uw&nbsp;eigen huis.&nbsp;&nbsp;,Gezin,Airwick Freshmatic Zijde en Lelie Navul. 250 ml,299,,Toilet en keuken,Toiletblokken,,0,3 voor 8,Volwassenen,ml,,Freshmatic,,,Zijde&Lelie,,,
16121,Airwick,Huishouden,,"Laat je huis heerlijk ruiken met deze geurverspreider van Air Wick. Geniet 60 dagen lang van een parfum op basis van gebruik van de geurverspreider op de minimale stand. Voor een optimaal resultaat, gebruik enkel Air Wick navullingen in de Freshmatic verstuiver. Krijg je onverwachts bezoek? Geen probleem, je huis ruikt altijd lekker en fris dankzij Air Wick.&nbsp;",B2B,AirWick Freshmatic Jasmijn & Witte Bloemen Navul. 250 ml,299,,Toilet en keuken,Toiletblokken,,18,3 voor 8,Kantoor,ml,,Freshmatic,,,White Flowers,,,
31625,Airwick,Huishouden,,Geef je woning een heerlijke geur van White Vanilla Bean met de navulling van de elektrische geurverspreiders van Airwick. De elektrische luchtverfrisser geeft continu en langdurig een heerlijke geur af in je woning.,B2B,Airwick DoubleFresh Elektrische Luchtverfrisser Vanille 2x 19 ml,499,,Toilet en keuken,Luchtverfrissers,,0,3 voor 12,Kantoor,ml,,,,,Vanille,,,
8532,8x4,Gezond & verzorging,,"Ongeacht waar of wanneer, 8x4 Modern Charme met zijn bloemige, fruitige en elegante geur biedt de hele dag lang bescherming, dankzij het Non-stop fresh effect. 8x4 combineert individuele geuren met betrouwbare deodorant bescherming, de hele dag lang.Het geeft een non-stop fresh effect en laat geen restproducten achter. De huidverdraagzaamheid is dermatologisch aangetoond.&nbsp;",Vrouw,8x4 Deodorant Spray Modern Charme 150 ml,179,,Lichaamsverzorging,Deodorant,,32,3 voor 5,Vrouwen,ml,,,,Anti-transpirant,Modern Charme,,,
16118,Airwick,Huishouden,,De Airwick Freshmatic verspreid dagelijks heerlijke parfum door&nbsp;het huis. De parfum neutraliseert geurtjes en gaat tot wel 60 dagen mee. Geniet optimaal van de heerlijke bloemengeur van magnolia&nbsp;en kersenbloem en laat je huis opbloeien.&nbsp;&nbsp;,Gezin,Airwick Freshmatic Magnolia&Kersenbloem Navul. 250ml,299,,Toilet en keuken,Toiletblokken,,0,3 voor 8,Volwassenen,ml,,Freshmatic,,,Magnolia & Kersenbloem,,,
29099,Airwick,Huishouden,,De Airwick Freshmatic verspreid dagelijks heerlijke parfum door&nbsp;het huis. De parfum neutraliseert geurtjes en gaat tot wel 60 dagen mee.&nbsp;Ervaar de zachte geur van katoen.,Gezin,Airwick Freshmatic Navulling Katoen 250 ml,299,,Toilet en keuken,Toiletblokken,,0,3 voor 8,Kantoor,ml,,Freshmatic,,,Katoen,,,
17043,Airwick,Huishouden,,De Airwick Freshmatic verspreid dagelijks heerlijke parfum door&nbsp;het huis. De parfum neutraliseert geurtjes en gaat tot wel 60 dagen mee.&nbsp;Ontspan en geniet van de lavendelgeur.,Gezin,Airwick Freshmatic Lavendel Navul. 250ml,299,,Toilet en keuken,Toiletblokken,,0,3 voor 8,Volwassenen,ml,,Freshmatic,,,Lavendel,,,
32476,Airwick,Wonen & vrije tijd,,Laat je huis heerlijk ruiken met de Essential Oils Infusion geurkaarsen van Airwick. De geur Berries &amp; Spice is kruidig en zoet.,Unisex,Airwick Essential Oils Berries & Spice Geurkaars 105 gr,229,,Woonaccessoires,Kaarsen,,0,3 voor 6,Volwassenen,gr,,,,,,,,
32483,Airwick,Wonen & vrije tijd,,Laat je huis heerlijk ruiken met de Essential Oils Infusion geurkaarsen van Airwick. De geur Orange &amp; Festive Spice is fris en zoet.,Unisex,Airwick Essential Oils Infusion Geurkaars Orange & Festive Spice,229,,Woonaccessoires,Kaarsen,,0,3 voor 6,Volwassenen,gr,,,,,,,,
32474,Airwick,Wonen & vrije tijd,,Laat je huis heerlijk ruiken met de Essential Oils Infusion geurkaarsen van Airwick. De geur Sugar Apple &amp; Warm Cinnamon is kruidig en geeft een winters knus gevoel.,Unisex,Airwick Essential Oils Infusion Geurkaars Apple & Cinnamon,249,,Woonaccessoires,Kaarsen,,0,3 voor 7,Volwassenen,gr,,,,,,,,
32520,Agfa,Elektronica & media,,"Geef je apparaten draadloos energie met de Alkaline Power AAA batterijen van Afgaphoto. Deze batterijen kunnen bijvoorbeeld gebruikt worden voor camera's, klokken en speelgoed.",Unisex,Agfaphoto Alkaline Power Batterijen AAA 4 st,129,,Elektronica & media,Batterijen,,0,3 voor 3,Volwassenen,st,,Alkaline,,,AAA,,,
32482,Airwick,Wonen & vrije tijd,,Laat je huis heerlijk ruiken met de Essential Oils Infusion geurkaarsen van Airwick. De geur Vanilla &amp; Brown Sugar is zoet en geeft een winters knus gevoel.,Unisex,Airwick Essential Oils Vanilla & Brown Sugar Geurkaars 105 gr,229,,Woonaccessoires,Kaarsen,,0,3 voor 6,Volwassenen,gr,,,,,,,,
29244,Airwick,Wonen & vrije tijd,,Laat je huis heerlijk ruiken met de Eternal Scents geurkaarsen van Airwick. De geur Eternal Vanille is warm en zoet.,Unisex,Airwick Eternal Scents Vanille Geurkaars 1 st,399,,Woonaccessoires,Kaarsen,,0,3 voor 10,Volwassenen,st,,,,,,,,
32480,Airwick,Wonen & vrije tijd,,Laat je huis heerlijk ruiken met de Essential Oils Infusion geurkaarsen van Airwick. De geur Sugar Apple &amp; Warm Cinnamon is kruidig en geeft een winters knus gevoel.,Unisex,Airwick Essential Oils Infusion Geurkaars Apple & Cinnamon,229,,Woonaccessoires,Kaarsen,,0,3 voor 6,Volwassenen,gr,,,,,,,,
30811,Airwick,Wonen & vrije tijd,,De Air Wick knapperige rode appel kaars zorgt voor een warme sfeer. Daarnaast verspreid de kaars voortdurend een heerlijke geur vanuit het gel reservoir onder de kaars. De gel zorgt 30 dagen voor een blijvende parfum in uw huis. De kaars geeft 30 uur een prettige geur af. &nbsp;&nbsp;,Unisex,Airwick Eternal Rode Appel Geurkaars 1st,399,,Woonaccessoires,Kaarsen,,0,3 voor 10,Volwassenen,st,,,,,Knapperige Rode Appel,,,
31627,Airwick,Wonen & vrije tijd,,Laat je huis heerlijk ruiken met de Home Signature geurkaarsen van Airwick. De geur Lotusbloemen is bloemig en rustgevend.,Unisex,Airwick Home Signature Geurkaars Lotusbloemen 147 gr,399,,Woonaccessoires,Kaarsen,,0,3 voor 10,Volwassenen,gr,,,,,,,,
7673,Ajax,Huishouden,,Ga als een tornado door je huis met de Ajax Eucalyptus allesreiniger. Maak je huis met een minimale inspanning glanzend schoon met Ajax Fris Allesreiniger. Je hoeft dus niet te schrobben en na te spoelen.,Unisex,Ajax Multi-Oppervlakken Fris  Allesreiniger 1250 ml,229,,Wassen en schoonmaken,Schoonmaken,,0,3 voor 5,Volwassenen,ml,,,,,,,,
7674,Ajax,Huishouden,,Ga als een tornado door je huis met de Ajax Eucalyptus allesreiniger. Maak je huis met een minimale inspanning glanzend schoon met Ajax Eucalyptus Limoen. Je hoeft dus niet te schrobben en na te spoelen.,Unisex,Ajax Multi-Oppervlakken Limoen 1250 ml,229,,Wassen en schoonmaken,Schoonmaken,,0,3 voor 5,Volwassenen,ml,,,,,Limoen,,,
31626,Airwick,Wonen & vrije tijd,,Laat je huis heerlijk ruiken met de Home Signature geurkaarsen van Airwick. De geur Moltebeere (Cloudberry) is fris en fruitig.,Unisex,Airwick Home Signature Cloudberry Geurkaars 147 gr,399,,Woonaccessoires,Kaarsen,,0,3 voor 10,Volwassenen,st,,,,,,,,
5952,Ajax,Huishouden,,"Dankzij de unieke, door lucht geactiveerde frisheid verspreidt Ajax Lentebloem de bloemengeur continu voor meer dan 24 uur, zoals een bloem dat ook zou doen. Bovendien, het reinigt grondig om zo de oppervlakken stralend schoon achter te laten, niet nodig om na te spoelen.",Gezin,Ajax Lentebloem Allesreiniger 1250 ml,229,,Wassen en schoonmaken,Schoonmaken,,0,3 voor 5,Volwassenen,ml,,,,,Lentebloem,,,
7474,Ajax,Huishouden,,"Dankzij de unieke, door lucht geactiveerde frisheid verspreidt Ajax de geur continu voor meer dan 24 uur. Bovendien, het reinigt grondig om zo de oppervlakken stralend schoon achter te laten, niet nodig om na te spoelen.",Unisex,"Ajax Seringenbries Allesreiniger 1,25 l",229,,Wassen en schoonmaken,Schoonmaken,,0,3 voor 5,Volwassenen,ml,,,,,Seringenbries,,,
7472,Ajax,Huishouden,,Ga als een tornado door je huis met de Ajax Eucalyptus allesreiniger. Maak je huis met een minimale inspanning glanzend schoon met Ajax Eucalyptus Allesreiniger. Je hoeft dus niet te schrobben en na te spoelen.&nbsp;,Unisex,Ajax Multi-Oppervlakken Eucalyptus Alles Reiniger 1250 ml,229,,Wassen en schoonmaken,Schoonmaken,,0,3 voor 5,Volwassenen,ml,,,,,Eucalyptus,,,
2855,Alpifresh,Gezond & verzorging,,"Bescherm je huid met de vaseline van Alpifresh. De Vaseline van Alpifresh bevat geen parfum, kunstmatige kleurstoffen en presvatives. Alpifresh Vaseline beschermt jouw huid tegen schadelijke stoffen en houdt de natuurlijke vochtbalans van jouw huid vast.",Unisex,Alpifresh Vaseline 125 ml,149,,Lichaamsverzorging,Bodylotion en bodymilk,,6,3 voor 4,Volwassenen,ml,,,,Overig,,,,
4269,Alpifresh,Gezond & verzorging,,"Bescherm je huid met de vaseline van Alpifresh. De Vaseline van Alpifresh bevat geen parfum, kunstmatige kleurstoffen en presvatives. Alpifresh Vaseline beschermt jouw huid tegen schadelijke stoffen en houdt de natuurlijke vochtbalans van jouw huid vast.",Vrouw,Alpifresh Vaseline 250 ml,229,,Lichaamsverzorging,Bodylotion en bodymilk,,0,3 voor 6,Volwassenen,ml,,,,Overig,,,,
33321,Always,Gezond & verzorging,,"De Always Discreet inlegkruisjes biedt je bescherming bij licht urine verlies en zorgt voor een fijn gevoel. de inlegkruisjes zijn ultra dun, en daarom erg comfortabel.Ook absorbeert de inlegkruisjes 2x meer dan een normal inlegkruisje en helpt om geurtjes en vocht op te sluiten.",Vrouw,Always Discreet Urine Verlies Inlegkruisjes 28st,249,,Persoonlijke hygiene,Maandverband,,0,3 voor 7,Vrouwen,st,,,,,,,,
33298,Always,Gezond & verzorging,,De inlegkruisjes van Always beschermt je dagelijks en neutraliseert geurtjes inplaast van ze te maskeren. Geeft je iedere dag&nbsp;een&nbsp;fijn en beschermt gevoel. &nbsp;,Vrouw,Always Long Plus Inlegkruisjes 38st,349,,Persoonlijke hygiene,Maandverband,,0,3 voor 9,Vrouwen,st,,,,,Long Plus,,,
5180,Always,Gezond & verzorging,,"Always Normaal inlegkruisjes beschermen je elke dag tegen geurtjes, door de&nbsp;nieuwe geurneutraliserende technologie. De inlegkruisjes zijn flexibel en dus comfortabel om te gebruiken. De inlegkruisjes geven je een veilig en schoon gevoel voor iedere dag.",Vrouw,Always Normaal Inlegkruisjes 52st,349,,Persoonlijke hygiene,Maandverband,,0,3 voor 9,Vrouwen,st,,,,,Normaal,,,
24564,Always,Gezond & verzorging,,Always Discreet String is speciaal ontworpen voor dagelijkse hygiene en bescherming. De inlegkruisjes zijn speciaal ontworpen voor string ondergoed.,Vrouw,Always Discreet Tanga Inlegkruisjes 36st,249,,Persoonlijke hygiene,Maandverband,,0,3 voor 7,Vrouwen,st,,,,,String,,,
25873,Always,Gezond & verzorging,,De inlegkruisjes van Always biedt&nbsp;dagelijks een fris en&nbsp;fijne&nbsp;bescherming. De Flexi Style past dan ook nog op alle soorten slip formaten dat erg comfortabel is voor ieder moment.,Vrouw,Always Fresh Flexistyle Inlegkruisjes 100st,399,,Persoonlijke hygiene,Maandverband,,0,3 voor 10,Vrouwen,st,,,,,Flesh Flexistyle,,,
23061,Amando,Gezond & verzorging,,Amando Deo Body Spray is mannelijk en sportief. Het is een anti- transpirant en geeft een frisse geur af.&nbsp;,Man,Amando MINI Deo Body Spray 50 ml,99,,Mini reisverpakkingen,Mini deodorant en geuren,,0,"3 voor 2,50",Mannen,ml,,,,Anti-transpirant,Noir,fris,,
7149,Amando,Gezond & verzorging,,"De Mystery deospray van Amando zorgt voor een langdurige bescherming tegen transpiratiegeur. De spray ruikt naar amber, muskus en balsamische noten die dit tot een frisse en spannende geur maken voor mannen. &nbsp;",Man,Amando Mystery Deospray 150ml,299,,Lichaamsverzorging,Deodorant,,0,3 voor 8,Mannen,ml,,,,Anti-transpirant,Mystery,,,
32521,Ambi Pur,Huishouden,,Geniet van niet 1 maar 3 heerlijke sensaties van Lavendel van Ambi Pur 3 Volution. De elektrische luchtverfrisser zorgt er voor dat er continu een heerlijke geur wordt verspreid. Door de 3 volution worden de geuren om de bepaalde tijd gevarieerd zodat je van drie geuren kunt genieten. Laat je reukzintuigen prikkelen!,Unisex,Ambi Pur 3 Volution Lavendel Starter+Navul.,599,,Toilet en keuken,Toiletblokken,,0,3 voor 15,Volwassenen,st,,3volution,,,Lavendel,,,
33295,Always,Gezond & verzorging,,Voel je de gehele nacht beschermt met Always Maxi Nights maandverband. Always Maxi Nights beschermt tot 8 uren lang tegen doorlekken.,Vrouw,Always Maxi Night Maandverband 10 stuks,249,,Persoonlijke hygiene,Maandverband,,0,3 voor 7,Vrouwen,st,,,,,,,,
7146,Amando,Gezond & verzorging,,"De Noir deospray van Amando beschermt langdurig tegen transpiratie geur en voorkomt witte strepen. Door de mix van spotief en frisheid met een rijke mix van diverse kruiden met warme hout- en&nbsp; mosgeuren, maakt dit een&nbsp;ideale mannen geur. &nbsp;",Man,Amando Noir Deospray 150ml,298,,Lichaamsverzorging,Deodorant,,0,,Mannen,ml,,,,Anti-transpirant,Noir,,,
20275,Ambi Pur,Huishouden,,Ambi pur Flush vloeibaar toiletblok doseert bij elke spoeling een gelijke hoeveelheid vloeistof. Het toilet ruikt van de eerste tot de laatste spoeling heerlijk fris.,Unisex,Ambi Pur Toiletblok Lavendel Promo Startpakketkit 4 x 55 ml,329,,Toilet en keuken,Toiletblokken,,21,,Volwassenen,ml,,,,,Lavendel,,,
31047,Always,Gezond & verzorging,,Always Maxi Long Plus zorgt voor een lange en droog gevoel. De maandverband beschermt en absorbeert voortdurend vocht op tot wel 8 uur lang. De maand verband beschermt en is comfortabel.,Vrouw,Always Maxi Normal Plus Maandverband 16st,249,,Persoonlijke hygiene,Maandverband,,0,3 voor 7,Vrouwen,st,,,,,Normal Plus,,,
20180,Ambi Pur,Huishouden,,De toiletblok van Ambi Pur zorgt langdurig voor&nbsp;hygiëne en frisheid na ieder spoelbeurt. De toilet blok&nbsp;bevat een formule&nbsp;om kalkaanslag tegen te gaan en is zuinig in verbruik. &nbsp;&nbsp;,Unisex,Ambi Pur Toiletblok Lavendel Startpakketkit 55 ml,139,,Toilet en keuken,Toiletblokken,,26,"3 voor 3,50",Volwassenen,ml,,,,,Lavendel,,,
32522,Ambi Pur,Huishouden,,Ambi Pur Totale Frisheid is een luchtverfrisser op basis van geurende oliën. Dankzij de frisse geur ruikt je huis langdurig fris.Bevat een starter en een navulling.,Unisex,"Ambi Pur Luchtverfrisser Totale Frisheid 5,5 ml",399,,Toilet en keuken,Luchtverfrissers,,0,3 voor 10,Volwassenen,ml,,,,,Totale Frisheid,,,
20169,Ambi Pur,Huishouden,,Ambi pur Flush vloeibaar toiletblok doseert bij elke spoeling een gelijke hoeveelheid vloeistof. Het toilet ruikt van de eerste tot de laatste spoeling heerlijk fris.,Unisex,Ambi Pur Toiletblok Lemon & Lime Startpakketkit 55 ml,139,,Toilet en keuken,Toiletblokken,,47,"3 voor 3,50",Volwassenen,ml,,,,,Lemon & Lime,,,
2154,Andrelon,Gezond & verzorging,,"• Deze conditioner geeft je droge, beschadigde haar een diepe, intensieve verzorging.• Met NutriKeratine.• Het haar wordt actief hersteld en gevoed.• Voor sterk, glanzend haar dat heerlijk aanvoelt en er gezond uitziet.Deze conditioner met NutriKeratine geeft je droge, beschadigde haar een diepe, intensieve verzorging. Het haar wordt actief hersteld en gevoed, precies wat je droge, beschadigde haar nodig heeft. Het resultaat is sterk en glanzend haar dat heerlijk aanvoelt. Door dagelijkse invloeden raakt je haar beschadigd en verliest het haar natuurlijke bouwstenen. Om je haar actief te herstellen zijn de Care &amp; Repair producten ontwikkeld met NutriKeratine, de natuurlijke bouwstof van je haar. Het resultaat is mooi, sterk en zacht haar.Na het wassen zacht inmasseren in vochtig haar. Laat het 1 tot 2 minuten inwerken. Daarna goed uitspoelen.",Unisex,Andrélon Conditioner Care & Repair 300 ml,229,,Haarverzorging,Conditioner,,0,3 voor 6,Vrouwen,ml,,Care & repair,,,,,conditioner,
32523,Ambi Pur,Huishouden,,Ambi Pur Totale Frisheid is een luchtverfrisser op basis van geurende oliën.&nbsp;,B2B,"Ambi Pur Totale Frisheid Navulling 2x 5,5 ml",299,,Toilet en keuken,Toiletblokken,,0,3 voor 8,Kantoor,ml,,,,,,,,
31729,Andrelon,Gezond & verzorging,,"Andrélon Bad &amp; douche energie &amp; vitaliteit voor het hele gezin. De verkwikkende formule geeft een vitaal gevoel, terwijl de verzorgende ingrediënten de huid zacht en soepel houden. Bad &amp; Douche van Andrélon is een mild bad- en doucheschuim. pH-neutraal en dermatologisch getest.&nbsp;",Gezin,Andrélon Lotus Ginko Bad & Douche 750 ml,249,,Lichaamsverzorging,Bad en douche,,0,3 voor 7,Volwassenen,ml,,Bad&douche,,Gel,Lotus Ginko,,,
6910,Andrelon,Gezond & verzorging,,"Deze conditioner bevat zomertarwe, een ingrediënt met veel vitaminen en sterke vezels. Het geeft je haar een diepe, natuurlijke glans. Resultaat: stralend haar dat er gezond uitziet. De Glans producten zijn speciaal ontwikkeld om normaal haar extra te laten glanzen. De producten met zomertarwe brengen de zon weer terug in je haar! &nbsp;&nbsp;",Vrouw,Andrélon Conditioner Glans Zomertarwe 300 ml,229,,Haarverzorging,Conditioner,,0,3 voor 6,Vrouwen,ml,,Glans,,,,,,
2551,Andrelon,Gezond & verzorging,,"Deze conditioner geeft dof haar een diepe, intensieve verzorging. De formule, met parel-extract en zonnebloemolie, is speciaal ontwikkeld om je haar extra glans te geven. Resultaat: je haar voelt zijdezacht aan en ziet er gezond en glanzend uit.",Vrouw,Andrélon Glans & Care Conditioner 300 ml,229,,Haarverzorging,Conditioner,,43,3 voor 6,Vrouwen,ml,,Glans & Care,,,,,,
2552,Andrelon,Gezond & verzorging,,"Voor een intensieve verzorging van gekleurd haar gebruik je deze conditioner. De rijke samenstelling, met UV filter, perzikextract en macadamia-olie, verzorgt en herstelt je haar en helpt zo de levendigheid en diepe glans van je kleur langdurig vast te houden.",Vrouw,Andrélon Conditioner Levendige Kleur 300 ml,229,,Haarverzorging,Conditioner,,0,3 voor 6,Vrouwen,ml,,Levendige Kleur,,,,,,
2535,Andrelon,Gezond & verzorging,,"Deze lijn is speciaal ontwikkeld voor de intensieve verzorging van krullend haar. De conditioner, verrijkt met verzorgende oliën, accentueert de kracht van je krullen. Met Andrélon Perfecte Krul worden je krullen weer makkelijk handelbaar en voelen ze zacht, flexibel en veerkrachtig aan. Het resultaat is een perfecte bos krullen. &nbsp;&nbsp;",Vrouw,Andrélon Conditioner Perfecte Krul 300 ml,229,,Haarverzorging,Conditioner,,0,3 voor 6,Vrouwen,ml,,Perfecte krul,,,,,,
